ts,city,event_date,ticker,action,price_c,fill_vwap_c,filled_qty,qty,fee_c,p_model,ev_c,pnl_taker_c,pnl_maker_c,clv_c,phase_label,note
2026-07-25T03:41:06+00:00,lax,2026-07-25,KXHIGHLAX-26JUL25-B81.5,OPEN,25,24.73,100,100,2,35.8,8.8,,,,training,d1
2026-07-25T03:41:06+00:00,lv,2026-07-25,KXHIGHTLV-26JUL25-B111.5,OPEN,10,12.03,100,100,1,25.5,14.5,,,,training,d1
2026-07-25T05:51:27+00:00,okc,2026-07-24,KXHIGHTOKC-26JUL24-T95,SELL,99,99.0,100,100,1,3.4,,1500,1800,,training,edge_gone
2026-07-25T07:00:30+00:00,lv,2026-07-25,KXHIGHTLV-26JUL25-B111.5,SELL,8,5.82,100,100,1,1.8,,-800,-600,,training,edge_gone
2026-07-25T14:26:23+00:00,den,2026-07-25,KXHIGHDEN-26JUL25-T101,OPEN,11,14.27,99,100,1,63.1,51.1,,,,training,d0
2026-07-25T14:26:23+00:00,chi,2026-07-25,KXHIGHCHI-26JUL25-B82.5,OPEN,10,13.46,100,100,1,35.6,24.6,,,,training,d0
2026-07-25T14:26:23+00:00,aus,2026-07-25,KXHIGHAUS-26JUL25-B97.5,OPEN,54,57.52,100,100,2,61.5,5.5,,,,training,d0
2026-07-25T14:26:23+00:00,lax,2026-07-25,KXHIGHLAX-26JUL25-B81.5,SELL,33,33.0,100,100,2,26.2,,400,800,,training,edge_gone
2026-07-25T14:26:23+00:00,dal,2026-07-25,KXHIGHTDAL-26JUL25-B101.5,OPEN,24,26.65,100,100,2,54.7,28.7,,,,training,d0
2026-07-25T14:26:23+00:00,sat,2026-07-25,KXHIGHTSATX-26JUL25-B95.5,OPEN,56,59.51,65,100,2,63.1,5.1,,,,training,d0
2026-07-25T14:26:23+00:00,nola,2026-07-25,KXHIGHTNOLA-26JUL25-B95.5,OPEN,38,40.78,100,100,2,52.0,12.0,,,,training,d0
2026-07-25T14:26:23+00:00,okc,2026-07-25,KXHIGHTOKC-26JUL25-B100.5,OPEN,28,32.01,100,100,2,64.1,34.1,,,,training,d0
2026-07-25T14:26:23+00:00,den,2026-07-24,KXHIGHDEN-26JUL24-T96,SETTLE,0,33,100,100,0,48.8,,-3500,-3300,-32.5,training,held
